identifier,DOB,Sex
P0001T,0,39
P0002T,0,45
P0003T,,
P0004T,,
P0005T,,
P0006T,0,40
P0007T,,36
P0008T,,
P0009T,0,32
P0010T,0,32
P0012T,1,43
P0015T,0,41
P0017T,0,41
P0018T,0,26
P0022T,0,33
P0026T,0,36
P0027T,0,39
P0034T,0,
P0040T,0,36
P0043T,0,36
P0045T,0,29
P0046T,0,38
P0049B,0,40
P0055T,,30
P0058T,1,37
P0060T,0,
P0063T,1,40
P0066T,0,30
P0072T,0,43
P0073T,0,33
P0077T,0,26
P0078B,0,37
P0081T,0,33
P0082T,0,42
P0086T,1,41
P0088T,0,32
P0090T,0,38
P0094T,0,29
P0098T,0,37
P0099T,0,31
P0101T,0,35
P0102T,0,31
P0107T,0,45
P0108T,0,36
P0110T,0,30
P0113T,0,37
P0114T,0,28
P0115T,0,23
P0116T,0,23
P0117T,0,35
P0118T,0,31
P0120B,0,26
P0122T,0,30
P0123T,0,38
P0124T,0,29
P0125T,0,29
P0126T,0,28
P0127T,0,35
P0128T,0,33
P0130T,0,28
P0131T,,32
P0133T,0,23
P0134T,0,
P0135T,,34
S0049B,,37
S0077T,,
S0086T,,34
S0094T,,38
S0096T,,37
S0110T,,38
S0128T,,36
T0079T,,31
,,30
,,
