identifier,date,activities_calories,activities_caloriesbmr,activities_steps,activities_distance,activities_minutessedentary,activities_minuteslightlyactive,activities_minutesfairlyactive,activities_minutesveryactive,activities_activitycalories
P0001T,2021-08-26T00:00:00.000Z,2158,1314,13927,5.942253487,1167,180,69,24,1071
P0001T,2021-08-30T00:00:00.000Z,2017,1460,6513,2.845028781,1229,200,7,4,727
P0001T,2021-09-28T00:00:00.000Z,1500,1319,2284,0.967897478,1366,74,0,0,220
P0001T,2021-11-09T00:00:00.000Z,2079,1318,13503,5.610727102,1202,141,44,53,946
P0001T,2021-11-24T00:00:00.000Z,1328,1317,90,0.037524606,1437,3,0,0,10
P0001T,2021-12-10T00:00:00.000Z,2060,1840,973,0.399634882,1397,43,0,0,228
P0001T,2021-12-26T00:00:00.000Z,1855,1839,79,0.032398294,1435,5,0,0,19
P0001T,2022-01-01T00:00:00.000Z,2170,1839,1244,0.510170603,1358,82,0,0,356
P0001T,2022-01-07T00:00:00.000Z,3219,1839,10926,4.439386481,1099,307,22,12,1687
P0001T,2022-01-20T00:00:00.000Z,1849,1839,28,0.01148294,1436,4,0,0,13
P0001T,2022-01-26T00:00:00.000Z,2347,1839,2415,0.990403543,1306,134,0,0,564
P0001T,2022-01-28T00:00:00.000Z,2161,1839,2136,0.875984252,1345,95,0,0,394
P0001T,2022-02-06T00:00:00.000Z,2309,1839,3378,1.279527559,1320,120,0,0,575
P0001T,2022-02-25T00:00:00.000Z,2576,1839,3108,1.274606299,1255,153,32,0,857
P0001T,2022-05-04T00:00:00.000Z,2392,1834,3579,1.467765747,1247,193,0,0,730
P0001T,2022-05-05T00:00:00.000Z,2310,1834,2853,1.131069553,1287,153,0,0,594
P0001T,2022-05-06T00:00:00.000Z,2271,1834,3861,1.54199475,1300,123,11,6,572
P0001T,2022-05-07T00:00:00.000Z,2140,1834,2440,1.000656168,1357,70,13,0,392
P0001T,2022-05-08T00:00:00.000Z,2220,1834,2891,1.185613517,1311,129,0,0,511
P0001T,2022-05-10T00:00:00.000Z,2305,1834,2773,1.094980315,1273,167,0,0,621
P0001T,2022-05-12T00:00:00.000Z,2442,1834,3280,1.316026902,1258,182,0,0,719
P0001T,2022-05-15T00:00:00.000Z,2441,1834,1961,0.665600393,1325,53,33,29,718
P0001T,2022-05-16T00:00:00.000Z,2730,1834,4872,1.963172571,1200,240,0,0,1019
P0001T,2022-05-17T00:00:00.000Z,2818,1834,7050,2.891240156,1159,273,6,2,1194
P0001T,2022-05-18T00:00:00.000Z,2538,1834,4092,1.678149606,1228,212,0,0,856
P0001T,2022-05-19T00:00:00.000Z,2327,1834,2724,1.117125984,1296,144,0,0,590
P0001T,2022-05-20T00:00:00.000Z,2262,1834,2409,0.987942913,1324,116,0,0,500
P0001T,2022-05-21T00:00:00.000Z,2520,1834,3275,1.343093832,1273,167,0,0,790
P0001T,2022-05-22T00:00:00.000Z,2763,1834,5787,2.371227033,1159,281,0,0,1147
P0001T,2022-05-23T00:00:00.000Z,2659,1834,5843,2.329396325,1175,265,0,0,1067
P0001T,2022-05-24T00:00:00.000Z,2645,1834,4080,1.673228346,1214,226,0,0,942
P0001T,2022-05-25T00:00:00.000Z,2825,1834,7022,2.875656167,1147,293,0,0,1211
P0001T,2022-05-26T00:00:00.000Z,2275,1834,3282,1.345964566,1294,146,0,0,575
P0001T,2022-05-28T00:00:00.000Z,2169,1834,1167,0.443733596,1359,81,0,0,369
P0001T,2022-05-30T00:00:00.000Z,1963,1834,779,0.319471785,1405,35,0,0,143
P0001T,2022-05-31T00:00:00.000Z,2199,1834,1768,0.725065617,1339,101,0,0,438
P0001T,2022-06-04T00:00:00.000Z,2218,1834,1523,0.624589895,1358,82,0,0,386
P0001T,2022-06-09T00:00:00.000Z,1868,1834,184,0.075459318,1431,9,0,0,36
P0001T,2022-06-10T00:00:00.000Z,2537,1834,3190,1.308234908,1275,143,19,3,812
P0001T,2022-06-14T00:00:00.000Z,2182,1834,1883,0.77222769,1330,110,0,0,437
P0001T,2022-06-15T00:00:00.000Z,2781,1834,5934,2.433562991,1148,292,0,0,1188
P0001T,2022-06-16T00:00:00.000Z,2933,1834,6100,2.365075458,1178,210,33,19,1303
P0001T,2022-06-17T00:00:00.000Z,2682,1834,3291,1.349655511,1225,215,0,0,930
P0001T,2022-06-18T00:00:00.000Z,2928,1834,5984,2.454068241,1160,280,0,0,1245
P0001T,2022-06-19T00:00:00.000Z,2530,1834,3807,1.561269684,1236,204,0,0,832
P0001T,2022-06-26T00:00:00.000Z,1838,1834,11,0.004511155,1438,2,0,0,6
P0001T,2022-06-28T00:00:00.000Z,2488,1834,3765,1.544045275,1264,176,0,0,773
P0001T,2022-06-29T00:00:00.000Z,2061,1834,1189,0.487614829,1369,71,0,0,274
P0001T,2022-07-02T00:00:00.000Z,2271,1834,1892,0.775918635,1340,100,0,0,492
P0001T,2022-07-16T00:00:00.000Z,1864,1834,112,0.043061024,1433,7,0,0,29
P0001T,2022-07-18T00:00:00.000Z,1836,1834,15,0.006151575,1439,1,0,0,4
P0001T,2022-07-20T00:00:00.000Z,2329,1834,2729,1.119176509,1285,155,0,0,606
P0001T,2022-07-26T00:00:00.000Z,1836,1834,25,0.010252625,1439,1,0,0,3
P0001T,2022-08-03T00:00:00.000Z,2470,1834,4031,1.653133201,1227,213,0,0,825
P0001T,2022-08-04T00:00:00.000Z,2815,1834,5110,2.071440288,1163,277,0,0,1147
P0001T,2022-08-05T00:00:00.000Z,2661,1834,5303,2.145426956,1223,217,0,0,990
P0001T,2022-08-06T00:00:00.000Z,2724,1834,5819,2.386400918,1156,284,0,0,1142
P0001T,2022-08-07T00:00:00.000Z,1896,1834,403,0.16527231,1421,19,0,0,75
P0001T,2022-08-17T00:00:00.000Z,2941,1834,7384,3.028215222,1101,339,0,0,1405
P0001T,2022-08-23T00:00:00.000Z,2578,1834,4625,1.895915354,1209,231,0,0,901
P0001T,2022-08-25T00:00:00.000Z,1844,1834,74,0.030347769,1437,3,0,0,13
P0001T,2022-09-03T00:00:00.000Z,2117,1834,1108,0.454396325,1360,80,0,0,321
P0001T,2022-09-07T00:00:00.000Z,2508,1834,4122,1.683070865,1209,231,0,0,861
P0001T,2022-09-28T00:00:00.000Z,2471,1834,3322,1.362368766,1264,176,0,0,733
P0001T,2022-09-29T00:00:00.000Z,2633,1834,5024,2.049294619,1175,265,0,0,1026
P0001T,2022-09-30T00:00:00.000Z,1837,1834,9,0.003690945,1439,1,0,0,3
P0001T,2022-10-01T00:00:00.000Z,2554,1834,3902,1.600229658,1271,134,27,8,851
P0001T,2022-10-08T00:00:00.000Z,2255,1834,2570,1.053969816,1320,120,0,0,523
P0001T,2022-10-15T00:00:00.000Z,2352,1834,2901,1.189714566,1279,161,0,0,645
P0001T,2022-10-21T00:00:00.000Z,2385,1834,3086,1.265583989,1284,156,0,0,643
