identifier,date,activities_calories,activities_caloriesbmr,activities_steps,activities_distance,activities_minutessedentary,activities_minuteslightlyactive,activities_minutesfairlyactive,activities_minutesveryactive,activities_activitycalories
P0009T,2023-10-11T00:00:00.000Z,1992,1395,4182,1.684425455,880,275,0,0,770
P0009T,2023-10-12T00:00:00.000Z,2257,1395,7018,2.831538812,722,383,0,0,1131
P0009T,2023-10-13T00:00:00.000Z,2182,1264,8615,3.466188707,549,425,0,0,1262
P0009T,2023-10-14T00:00:00.000Z,2840,1395,13031,5.250027338,647,555,15,7,1899
P0009T,2023-10-15T00:00:00.000Z,3291,1395,14744,6.206851982,619,461,36,63,2298
P0009T,2023-10-16T00:00:00.000Z,2357,1395,8792,3.543375436,494,446,0,0,1315
P0009T,2023-10-17T00:00:00.000Z,2490,1395,11275,4.549300831,650,495,0,0,1517
P0009T,2023-10-18T00:00:00.000Z,2225,1395,6284,2.524569016,542,371,0,0,1113
P0009T,2023-10-19T00:00:00.000Z,2143,1395,6405,2.572880626,1030,306,0,0,957
P0009T,2023-10-20T00:00:00.000Z,2409,1395,8232,3.313368676,648,445,0,0,1334
P0009T,2023-10-21T00:00:00.000Z,2180,1395,6062,2.445710798,714,324,0,0,981
P0009T,2023-10-22T00:00:00.000Z,2353,1395,4157,1.668505925,498,333,18,3,1187
P0009T,2023-10-23T00:00:00.000Z,2233,1395,6031,2.400574395,589,345,0,0,1039
P0009T,2023-10-24T00:00:00.000Z,2400,1395,7147,2.883075339,631,416,0,0,1287
P0009T,2023-10-25T00:00:00.000Z,2090,1395,5105,2.059957348,810,236,0,0,664
P0009T,2023-10-26T00:00:00.000Z,1495,1395,870,0.349831981,1381,59,0,0,149
P0009T,2023-10-27T00:00:00.000Z,2341,1395,9120,3.663113665,584,450,0,0,1303
P0009T,2023-10-28T00:00:00.000Z,2035,1395,6254,2.523407052,698,315,0,0,895
P0009T,2023-10-29T00:00:00.000Z,2044,1395,5320,2.146663484,1184,256,0,0,726
P0009T,2023-10-30T00:00:00.000Z,1913,1395,3796,1.511044251,1352,88,0,0,250
P0009T,2023-10-31T00:00:00.000Z,2018,1395,4637,1.861379543,669,292,0,0,848
P0009T,2023-11-01T00:00:00.000Z,2287,1395,7710,2.987434631,667,400,0,0,1192
P0009T,2023-11-02T00:00:00.000Z,2318,1395,8195,3.292024575,596,407,6,3,1249
P0009T,2023-11-03T00:00:00.000Z,2324,1395,7094,2.862507952,586,403,0,0,1225
P0009T,2023-11-04T00:00:00.000Z,2263,1395,7070,2.845805495,760,398,0,0,1159
P0009T,2023-11-05T00:00:00.000Z,2613,1395,7612,3.057146265,580,405,18,0,1450
P0009T,2023-11-06T00:00:00.000Z,2065,1395,4163,1.67614879,986,269,5,1,824
P0009T,2023-11-07T00:00:00.000Z,2176,1395,4533,1.828316382,729,307,0,0,955
P0009T,2023-11-08T00:00:00.000Z,2408,1395,7225,2.915249939,603,405,0,0,1299
P0009T,2023-11-09T00:00:00.000Z,2250,1395,5584,2.253265926,559,321,7,3,1082
P0009T,2023-11-10T00:00:00.000Z,2660,1395,7202,2.854995575,701,468,13,2,1626
P0009T,2023-11-11T00:00:00.000Z,2328,1395,6339,2.551580022,861,404,0,0,1220
P0009T,2023-11-12T00:00:00.000Z,2010,1395,3762,1.508937803,636,255,0,0,769
P0009T,2023-11-13T00:00:00.000Z,1865,1395,3959,1.594314204,1049,214,0,0,624
P0009T,2023-11-14T00:00:00.000Z,2084,1395,5903,2.381473444,745,284,0,0,862
P0009T,2023-11-15T00:00:00.000Z,2114,1395,5572,2.248468941,767,335,0,0,960
P0009T,2023-11-16T00:00:00.000Z,2126,1395,5477,2.206010647,787,334,0,0,961
P0009T,2023-11-17T00:00:00.000Z,2316,1395,5003,2.015697078,684,335,7,1,1121
P0009T,2023-11-18T00:00:00.000Z,2535,1395,6168,2.488964447,639,369,24,4,1384
P0009T,2023-11-19T00:00:00.000Z,1558,1395,980,0.395453054,787,72,0,0,210
P0009T,2023-11-26T00:00:00.000Z,1957,1395,5357,2.142692923,664,253,0,0,759
P0009T,2023-11-27T00:00:00.000Z,2659,1395,13210,5.328873129,604,485,17,1,1672
